clade_name	metaphlan_SRR5930493	metaphlan_SRR5930494	metaphlan_SRR5930495	metaphlan_SRR5930497	metaphlan_SRR5930498	metaphlan_SRR5930499	metaphlan_SRR5930501	metaphlan_SRR5930502	metaphlan_SRR5930503	metaphlan_SRR5930504	metaphlan_SRR5930505	metaphlan_SRR5930506	metaphlan_SRR5930507	metaphlan_SRR5930508	metaphlan_SRR5930509	metaphlan_SRR5930510	metaphlan_SRR5930511	metaphlan_SRR5930512	metaphlan_SRR5930513	metaphlan_SRR5930514	metaphlan_SRR5930515	metaphlan_SRR5930516	metaphlan_SRR5930517	metaphlan_SRR5930518	metaphlan_SRR5930519	metaphlan_SRR5930520	metaphlan_SRR5930521	metaphlan_SRR5930522	metaphlan_SRR5930523	metaphlan_SRR5930526	metaphlan_SRR5930527	metaphlan_SRR5930528	metaphlan_SRR5930529	metaphlan_SRR5930530	metaphlan_SRR5930531	metaphlan_SRR5930532	metaphlan_SRR5930533	metaphlan_SRR5930534	metaphlan_SRR5930536
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.72213	0.85642	0.01174	0.02861	0.23535	0.31196	0.76575	0.45964	0.38719	0.05694	0.01564	0.12509	0.35481	1.58861	0.16913	0.73571	0.13221	8.13519	0.00633	2.73477	0.72285	0.90794	0.24423	0.18129	0.24728	0.81583	0.07536	1.59712	1.85155	0.08612	0.07379	0.36016	0.16513	0.39416	0.05028	0.00248	6.34534	0.27161	0.00801
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.30576	3.52323	1.45336	1.6685	1.64536	2.83623	0.97691	5.26258	1.24641	4.51699	3.05608	3.15659	2.38148	6.1451	1.99963	1.10515	10.05688	0.93532	0.80968	3.7695	2.23239	4.35117	4.09894	3.79673	2.69442	3.37788	3.05361	13.5822	0.74196	2.12473	9.30166	3.02032	0.73508	1.30796	2.02941	11.39032	7.50153	0.77271	3.45247
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.84219	2.12175	2.19245	3.26888	0.64746	1.99011	1.27572	0.53546	0.69094	4.11628	2.43841	2.77909	1.21504	0.46201	0.19706	1.09547	0.90907	5.14801	0.27109	0.51123	0.31664	2.50714	4.86796	0.756	2.46242	0.63187	0.45386	4.05467	0.72743	1.2874	0.86088	2.87869	0.44279	0.17298	0.70738	0.78063	1.85448	1.75401	1.1825
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1.45098	0.0	0.0	0.0	0.0	0.0	0.02567	0.0	0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60126	0.0	0.0	0.0	0.0	0.0	0.00789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.84498	1.00235	4.26529	0.13576	1.65443	5.07714	3.10301	0.36855	3.38363	1.6433	1.11926	1.4473	2.94066	1.19582	0.69769	0.07318	1.89929	11.08351	0.18034	3.33357	0.71394	5.91639	10.8644	1.64335	8.9767	2.16301	0.54599	7.4733	1.88257	0.33788	0.60861	3.99574	0.04717	0.54067	0.18081	15.06648	0.1489	1.00998	0.09606
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.66395	0.36097	3.37864	1.0531	0.29714	0.74907	1.82995	0.48625	0.28042	0.04508	0.0118	0.36953	0.76344	1.03958	0.23048	1.41973	0.24561	0.20052	0.0468	1.93485	0.01133	16.39577	0.02783	1.26148	0.50573	1.4426	5.18199	0.35651	0.04954	0.09239	0.20957	0.07078	0.34872	0.12171	2.9876	0.17854	3.53775	0.10189	0.15389
k__Bacteria|p__Firmicutes|c__CFGB76465	0.64853	0.0	0.0	0.0	0.0	0.0	0.05695	0.0	0.10359	0.0	0.36791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06311	0.0	0.08443	0.0	0.0	0.0	0.08528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09926	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.64158	1.09112	1.39213	1.29724	0.39848	0.29498	0.63291	3.96296	1.32389	0.22067	1.84688	1.48903	0.32433	1.84837	1.01007	1.67415	3.09196	1.39946	0.99263	2.09721	3.70312	3.46393	0.69017	2.59036	5.33145	4.24409	1.85701	0.05234	1.92244	1.34685	3.53129	0.22843	2.09066	2.54557	2.06739	0.88343	1.27322	0.78433	2.55901
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.51409	0.64084	1.88593	0.0	1.7689	1.03521	0.50074	0.0	0.71567	0.0	0.0	0.0	1.47044	0.0	0.07708	0.00076	0.00681	0.00136	0.00047	2.87403	0.00081	1.1894	1.70546	0.0	0.0	0.46775	0.0	0.0	0.00223	0.0	0.08151	0.0	0.0	0.0	0.00105	0.00056	0.00145	0.00075	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	0.48276	0.0	0.0	0.0	0.0049	0.0	0.00068	0.0	0.03511	0.0	0.0	0.0	0.0	0.02637	0.0	0.0	0.00166	0.0	0.0	0.0	0.0	0.04365	0.0	0.0	0.0	0.0	0.0	0.12927	0.3528	0.0191	0.0	0.26912	0.0	0.00379	0.35526	0.0	0.09745	0.0	0.12236
k__Bacteria|p__Firmicutes|c__CFGB76769	0.39703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB2394	0.37413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2898	0.34575	0.28811	0.0	0.0	0.00771	0.07561	0.0	0.0	0.0	0.0	0.01205	0.00347	0.05606	0.03885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019	0.0	0.0	0.0	0.0	0.00901	0.0	0.0	0.25483	0.04976	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76783	0.20299	1.96873	0.0	0.17695	0.0	0.0	0.0	0.0	0.00143	0.0	1.80542	0.0	0.00032	0.80202	1.15478	0.96586	0.0	0.0	0.0	0.01365	0.0	0.69399	0.0	0.0	0.0	0.06634	0.0	0.0	0.72675	0.00075	0.00209	0.0	0.00239	1.84338	0.0	0.00209	0.00386	0.0	0.00065
k__Bacteria|p__Firmicutes|c__CFGB3070	0.18247	1.00478	0.0	0.00306	0.28827	0.17696	0.0	0.0	0.04382	0.46478	0.0	0.07648	0.07235	0.74171	0.03262	0.4711	0.12568	0.0	0.0	0.0189	0.0	0.10793	0.0	0.94452	0.5143	0.81916	0.0	0.00313	0.25462	0.11161	0.69724	0.34843	0.0	0.33832	0.0221	0.00103	1.32369	0.64549	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.1151	0.0719	0.00974	0.0103	0.75567	0.01532	0.00552	0.0	0.00414	0.0	0.06575	0.04377	0.03206	0.02098	0.0	0.25114	0.26115	0.00065	0.0	0.07249	0.0	0.13096	0.0	0.02889	0.0366	0.11879	0.0699	0.00584	0.14585	0.0	0.47866	0.05047	0.07208	0.10965	0.0	0.11118	0.0	0.0	0.05103
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.10381	0.0	0.2681	0.00712	0.09261	0.17644	0.62731	0.0	0.84346	0.0	0.31394	0.04315	0.0	0.44685	0.17032	0.11427	0.01486	0.0464	0.28745	0.0	0.0	0.73837	0.05938	1.12814	1.3575	1.30898	1.33707	0.00852	0.41032	0.0	0.00981	0.00061	0.01585	0.26328	0.64824	0.04937	0.66336	0.0	0.13885
k__Bacteria|p__Firmicutes|c__CFGB1473	0.10042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07243	0.0	0.05114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12435	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1211	0.05511	0.05838	0.0	0.0047	0.0	0.0	0.0	0.0	0.04494	0.0	0.0	0.0	0.02201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.05855	0.01366	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.05249	0.01306	0.0	0.0	0.0	0.0	0.0	0.0	0.21085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
