clade_name	metaphlan_SRR13068812	metaphlan_SRR13068813	metaphlan_SRR13068814	metaphlan_SRR13068815	metaphlan_SRR13068816	metaphlan_SRR13068817	metaphlan_SRR13068818	metaphlan_SRR13068819	metaphlan_SRR13068820	metaphlan_SRR13068821	metaphlan_SRR13068822	metaphlan_SRR13068823	metaphlan_SRR13068824	metaphlan_SRR13068825	metaphlan_SRR13068826	metaphlan_SRR13068827	metaphlan_SRR13068828	metaphlan_SRR13068829	metaphlan_SRR13068830	metaphlan_SRR13068831	metaphlan_SRR13068832	metaphlan_SRR13068833	metaphlan_SRR13068834	metaphlan_SRR13068835	metaphlan_SRR13068836	metaphlan_SRR13068837	metaphlan_SRR13068838	metaphlan_SRR13068839	metaphlan_SRR13068840	metaphlan_SRR13068841	metaphlan_SRR13068842	metaphlan_SRR13068843	metaphlan_SRR13068844	metaphlan_SRR13068845	metaphlan_SRR13068846	metaphlan_SRR13068847	metaphlan_SRR13068848	metaphlan_SRR13068849	metaphlan_SRR13068850	metaphlan_SRR13068851	metaphlan_SRR13068852	metaphlan_SRR13068853
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.67208	3.44157	0.33614	0.46481	0.7177	0.04778	0.02015	0.26652	0.27672	0.12466	0.62629	0.64642	1.14523	2.71925	0.12121	0.01052	0.09806	0.05211	30.98717	0.08661	0.15955	0.13251	0.00587	0.09888	0.21024	0.03566	0.01007	3.09881	0.50102	0.03865	2.13061	1.17573	0.18261	0.00312	0.10799	0.49698	0.99233	0.17718	0.18215	0.0796	0.79325	0.56611
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.21207	5.26729	4.65703	2.40246	0.77918	2.55371	2.94411	1.28659	2.13311	5.14766	1.39445	1.94208	2.05108	3.1634	4.24216	10.35149	7.99443	7.28818	1.7597	0.54902	5.19787	0.18732	0.53172	3.15206	8.83111	6.69689	4.51534	3.96093	4.03937	2.11357	5.98362	3.04879	2.32294	8.90009	10.55333	4.28881	1.65963	1.69173	3.59567	4.97343	3.60479	6.44281
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.17404	0.15952	0.20134	1.70302	1.73016	0.08444	0.04327	2.62784	0.03654	0.08556	0.92993	0.49729	2.67496	0.3761	0.167	0.11014	0.51661	2.48795	0.41865	2.01795	3.54302	1.46886	0.86133	0.01529	0.00258	0.08017	0.04859	7.49149	1.99397	3.94831	6.9903	2.45312	0.42068	0.0987	0.21678	0.08606	2.21184	1.24932	2.14465	0.36152	2.2814	0.20917
k__Bacteria|p__Firmicutes|c__Bacilli	0.62297	2.13477	2.69408	10.19807	4.87448	2.25942	1.02571	7.21551	3.64549	0.43353	3.93526	2.95834	3.23101	4.64755	21.36189	1.86029	2.31614	7.54266	0.28559	0.10698	0.79951	0.18016	2.60756	4.56829	2.71965	3.91431	8.92692	5.99735	8.74624	20.89463	3.71288	6.59285	16.26529	8.45293	19.94434	18.42183	0.44756	0.24766	1.32518	1.40853	2.66039	2.53438
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.28049	16.64538	7.00439	6.67712	0.48585	4.54509	3.2627	1.23459	4.69828	14.94877	0.0	5.00847	6.59898	3.68592	0.47575	0.60516	3.06731	3.2076	4.48984	2.18244	23.5284	0.22367	17.85489	10.63314	5.84819	7.15324	4.7675	2.27221	0.66342	11.79143	0.53743	3.27352	25.41802	7.30177	11.10558	7.13027	5.87864	2.40901	11.8987	0.42243	1.83529	3.42141
k__Bacteria|p__Firmicutes|c__CFGB1292	0.08858	0.0217	0.03832	0.03645	0.0	0.05942	0.0	0.0	0.07148	0.05856	0.0	0.0	0.0	0.01483	0.01985	0.10267	0.0459	0.01128	0.0	0.0	0.0	0.0	0.0	0.04707	0.03829	0.03515	0.05651	0.0	0.00624	0.18376	0.0	0.0	0.16134	0.03592	0.04956	0.0	0.0	0.0	0.0	0.0	0.0	0.01855
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0844	0.13361	0.01432	0.29351	0.18639	0.04104	0.02426	1.05459	0.03937	0.04049	0.14981	0.3747	0.29209	0.32499	0.03584	0.04699	0.12286	0.67953	0.02661	0.07842	0.03403	1.71235	0.00259	0.0	0.00276	0.0	0.01962	0.00471	0.00999	0.01195	0.11399	0.24886	0.0	0.0	0.0	0.22557	0.09037	0.09729	0.17578	0.04809	0.36479	0.03216
k__Bacteria|p__Firmicutes|c__CFGB76783	0.0768	0.72818	0.61811	0.03355	0.03148	2.28037	0.70023	0.13175	1.3078	1.02273	0.0	0.33975	0.12019	0.2318	0.0	0.83135	0.83345	0.00061	0.0	0.0	0.0028	0.0	0.0	1.79079	2.47229	1.10287	0.0	0.00242	0.0	0.35233	0.03053	0.00272	0.79356	6.37382	1.21553	2.33036	0.02503	0.05127	0.11039	1.02567	0.45917	0.11292
k__Bacteria|p__Firmicutes|c__CFGB1126	0.0428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00604	0.00507	0.02134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00339	0.00497	0.00426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04628	0.0	0.00859	0.00137	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.03419	0.0	0.00522	0.01048	0.31274	0.01446	0.30702	0.01378	0.06759	0.15283	1.16526	0.4765	0.11091	0.02308	0.0	0.00118	0.01934	0.04949	0.11039	0.014	0.00228	0.87533	0.01343	0.00138	0.0	0.0	0.0	0.0004	1.52702	0.0	0.02862	0.00519	0.00091	0.0	0.0	0.00124	0.0	0.34404	0.02579	0.0603	0.07635	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	41.55776	0.01345	0.02987	0.0	0.0	1.35951	0.21373	0.0	0.0	0.17708	0.00375	0.04275	0.48026	2.96859	1.05639	0.43658	0.32215	0.81912	0.00389	0.00126	0.0	0.06013	0.61109	5.68589	1.65251	1.52486	2.29085	0.06344	0.2099	0.00183	0.14742	0.84443	5.32239	0.03289	0.0	0.0	24.78679	0.0079	0.0168	0.02135	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	23.51853	38.71132	56.96313	48.96614	46.17514	67.94274	63.64687	53.83841	67.77328	63.81093	28.99729	43.98209	45.26749	36.99404	56.89492	66.53381	68.87721	72.39018	49.55845	57.86764	56.56418	55.72549	67.45639	52.2885	56.26531	61.1092	57.09932	61.26211	69.05288	45.54946	58.10556	65.19766	27.57897	59.01059	44.15096	46.78612	46.01795	57.69684	65.49397	63.06094	57.59431	66.03352
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	20.30692	10.84156	9.19134	12.24242	27.07513	4.89889	20.809	20.27364	12.04334	5.22262	42.55706	8.87167	7.80686	3.49994	0.54364	5.82429	4.95789	1.87876	8.03752	14.56596	1.93691	29.12916	7.92237	6.72537	2.75465	2.53511	14.91326	4.27167	1.04991	1.57138	10.51377	1.6414	13.73745	3.4914	4.05212	10.06291	11.90762	23.80439	2.71283	15.93823	13.22206	1.56853
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	3.69481	3.61935	7.69815	0.0	0.0	4.27945	0.0	0.0	0.0	0.0	0.00035	0.0	0.00019	0.06859	7.14382	6.74124	3.92662	0.0034	0.0	0.0	0.0	0.00258	0.0	3.57748	6.04306	5.19119	0.00872	0.00082	0.00117	0.0	0.00372	0.0	2.2558	3.90546	5.53238	1.26995	0.00226	0.00341	0.00817	0.0	2.00118	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2.67208	3.28736	0.28555	0.0	0.0	0.0	0.0	0.00559	0.01164	0.01877	0.53084	0.07022	0.1642	0.6994	0.10408	0.00383	0.07571	0.01303	30.98308	0.0	0.14605	0.06832	0.0	0.09888	0.20545	0.03566	0.01007	3.05596	0.1629	0.0	0.85061	0.37081	0.18261	0.00312	0.10799	0.49054	0.9207	0.12408	0.13578	0.03714	0.5231	0.46039
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1.94706	0.62318	1.08595	0.06771	0.00047	0.87121	0.21621	0.0	0.74855	0.0	0.00415	0.0	0.0	0.0	1.7109	1.28643	1.72002	0.0	0.56164	0.36146	0.01473	0.03845	0.0	1.15554	0.56753	0.08685	0.16462	0.09755	0.39857	0.05909	1.36186	3.53725	1.49667	0.51057	1.05781	0.00294	0.05142	0.0	0.0	0.05105	0.01033	0.9065
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1.20215	2.02298	1.19722	0.48835	0.29013	0.61378	1.93187	0.20147	1.11945	0.50333	0.44441	0.24444	0.26031	0.64356	0.78368	4.27889	2.75342	0.43895	0.10463	0.12827	0.40107	0.05581	0.06556	0.76194	1.00447	0.99095	0.26344	0.35853	0.42159	0.12259	1.15267	0.31094	0.56279	2.01407	2.28214	0.97938	0.46812	0.05131	0.32136	0.09781	0.36053	1.99284
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.17404	0.15952	0.20134	1.70302	1.73016	0.08444	0.04327	2.62784	0.03654	0.08556	0.92993	0.49729	2.67496	0.3761	0.167	0.11014	0.51661	2.48795	0.41865	2.01795	3.54302	1.46886	0.86133	0.01529	0.00258	0.08017	0.04859	7.49149	1.99397	3.94831	6.9903	2.45312	0.42068	0.0987	0.21678	0.08606	2.21184	1.24932	2.14465	0.36152	2.2814	0.20917
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	1.00993	3.24431	3.45981	1.91411	0.48906	1.93993	1.01224	1.08512	1.01366	4.64433	0.95004	1.69764	1.79077	2.51984	3.45848	6.07259	5.24101	6.84923	1.65507	0.42075	4.7968	0.13152	0.46616	2.39011	7.82664	5.70595	4.25191	3.6024	3.61778	1.99098	4.83095	2.73785	1.76015	6.88602	8.27119	3.30943	1.19151	1.64043	3.27431	4.87562	3.24426	4.44997
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.62297	1.85128	2.69408	10.19634	4.87448	2.25942	1.02571	7.21551	3.64549	0.43092	3.93526	2.62497	3.19287	4.62353	21.36189	1.86029	2.31614	7.54266	0.28559	0.10698	0.79951	0.18016	2.60756	4.56829	2.71965	3.91431	8.92692	5.96072	8.64281	20.89463	3.70829	6.59285	16.25794	8.45293	19.94434	18.41395	0.44756	0.24766	1.32204	1.00551	2.45285	2.53438
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.50322	10.52026	7.36305	7.07207	5.5922	7.89756	3.92052	3.94474	6.42128	0.62744	10.04493	2.16501	2.1777	1.37418	2.22624	1.04045	1.32359	1.26096	0.79936	7.00828	3.77739	1.09252	0.0	5.66345	4.42308	2.10788	3.6215	2.35097	0.05488	0.75147	0.04452	0.0	3.6638	1.06155	1.47122	1.64349	1.22264	2.26524	2.01017	3.29013	2.59956	5.99861
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.34675	3.61189	1.13271	0.05775	0.20653	0.0	0.56685	0.46383	0.0	0.23204	0.54868	0.9343	0.89253	1.18495	0.42314	0.60652	1.32875	0.15071	0.06418	0.90671	0.19013	0.19919	0.0	0.47233	0.07649	0.00747	0.0	0.27329	0.11793	0.13002	0.34036	0.40073	0.08652	0.00744	0.00341	0.11157	0.12218	0.79323	0.48474	0.07368	0.12933	10.52654
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.28049	15.75888	6.95182	5.4875	0.45484	4.54509	3.24917	1.04438	4.69333	14.94602	0.0	4.96808	6.55454	3.65829	0.41615	0.4267	2.03552	2.80895	4.20234	2.18244	23.43644	0.21318	17.76714	10.63314	5.82847	7.14932	4.76151	1.96195	0.37504	11.65236	0.41255	3.08902	25.41637	6.75701	10.00714	6.00859	5.87864	2.40231	11.85137	0.37489	1.83529	3.41357
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.08858	0.0217	0.03832	0.03645	0.0	0.05942	0.0	0.0	0.07148	0.05856	0.0	0.0	0.0	0.01483	0.01985	0.10267	0.0459	0.01128	0.0	0.0	0.0	0.0	0.0	0.04707	0.03829	0.03515	0.05651	0.0	0.00624	0.18376	0.0	0.0	0.16134	0.03592	0.04956	0.0	0.0	0.0	0.0	0.0	0.0	0.01855
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0844	0.13361	0.01432	0.29351	0.18639	0.04104	0.02426	1.05459	0.03937	0.04049	0.14981	0.3747	0.29209	0.32499	0.03584	0.04699	0.12286	0.67953	0.02661	0.07842	0.03403	1.71235	0.00259	0.0	0.00276	0.0	0.01962	0.00471	0.00999	0.01195	0.11399	0.24886	0.0	0.0	0.0	0.22557	0.09037	0.09729	0.17578	0.04809	0.36479	0.03216
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	0.0768	0.72818	0.61811	0.03355	0.03148	2.28037	0.70023	0.13175	1.3078	1.02273	0.0	0.33975	0.12019	0.2318	0.0	0.83135	0.83345	0.00061	0.0	0.0	0.0028	0.0	0.0	1.79079	2.47229	1.10287	0.0	0.00242	0.0	0.35233	0.03053	0.00272	0.79356	6.37382	1.21553	2.33036	0.02503	0.05127	0.11039	1.02567	0.45917	0.11292
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	0.0428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00604	0.00507	0.02134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00339	0.00497	0.00426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04628	0.0	0.00859	0.00137	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.03419	0.0	0.00522	0.01021	0.31274	0.01446	0.30702	0.01378	0.06759	0.15283	1.16526	0.4765	0.11091	0.02308	0.0	0.00118	0.01934	0.04949	0.11039	0.014	0.00228	0.87533	0.01343	0.00138	0.0	0.0	0.0	0.0	1.52702	0.0	0.02862	0.00519	0.00091	0.0	0.0	0.00124	0.0	0.34404	0.02579	0.0603	0.07635	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.00903	0.07922	0.05126	0.08418	0.06324	0.02171	0.00495	0.25622	0.01023	0.02234	0.02423	0.54157	0.20065	0.61889	0.00997	0.12861	0.02337	0.00147	0.0	0.00604	0.07626	0.00443	0.00553	0.03055	0.03037	0.00931	0.05274	0.0154	0.11494	0.00209	0.21356	0.2353	0.01487	0.04048	0.06617	0.10964	0.07535	0.0	0.04651	0.00819	0.07195	0.05549
