clade_name	metaphlan_SRR13068812	metaphlan_SRR13068813	metaphlan_SRR13068814	metaphlan_SRR13068815	metaphlan_SRR13068816	metaphlan_SRR13068817	metaphlan_SRR13068818	metaphlan_SRR13068819	metaphlan_SRR13068820	metaphlan_SRR13068821	metaphlan_SRR13068822	metaphlan_SRR13068823	metaphlan_SRR13068824	metaphlan_SRR13068825	metaphlan_SRR13068826	metaphlan_SRR13068827	metaphlan_SRR13068828	metaphlan_SRR13068829	metaphlan_SRR13068830	metaphlan_SRR13068831	metaphlan_SRR13068832	metaphlan_SRR13068833	metaphlan_SRR13068834	metaphlan_SRR13068835	metaphlan_SRR13068836	metaphlan_SRR13068837	metaphlan_SRR13068838	metaphlan_SRR13068839	metaphlan_SRR13068840	metaphlan_SRR13068841	metaphlan_SRR13068842	metaphlan_SRR13068843	metaphlan_SRR13068844	metaphlan_SRR13068845	metaphlan_SRR13068846	metaphlan_SRR13068847	metaphlan_SRR13068848	metaphlan_SRR13068849	metaphlan_SRR13068850	metaphlan_SRR13068851	metaphlan_SRR13068852	metaphlan_SRR13068853
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB10485|s__GGB10485_SGB49305|t__SGB49305_group	0.0	0.0086	0.0	0.00105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0	0.0	0.02083	0.01119	0.01323	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis|t__SGB6148	0.0	0.00778	0.03737	0.0	0.0	0.06523	0.00232	0.00904	0.13086	0.03525	0.00603	0.08537	0.07862	0.01872	0.00456	0.15349	0.01134	0.0285	0.0	0.00831	0.05757	0.00098	0.09951	0.0	0.0	0.0	0.0	0.0	0.0	0.01424	0.0	0.0	0.0	0.00466	0.0	0.01631	0.0156	0.00554	0.07604	0.05552	0.0	0.22061
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis|t__SGB4046	0.0	0.0076	0.0	0.0	0.0	0.02594	0.01409	0.0	0.01903	0.0	0.0	0.0	0.0	0.0	0.0	0.01552	0.0	0.01689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00359	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17157|t__SGB17157	0.0	0.0071	0.0	0.06674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00134	0.0135	0.01242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00996	0.0	0.0	0.0	0.0246	0.0	0.0	0.00075	0.0	0.0	0.00407	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum|t__SGB4079	0.0	0.00682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00165	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_rimae|t__SGB985	0.0	0.00668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_sp_BX12|t__SGB14854	0.0	0.00657	0.07268	0.03832	0.0	0.03637	0.03098	0.0	0.03756	0.0	0.11204	0.0	0.00388	0.0	0.0	0.10917	0.25717	0.04132	0.0	0.0	0.0	0.0	0.0334	0.0	0.20419	0.1583	0.05957	0.26229	0.00872	0.09131	0.00868	0.02237	0.04989	0.08397	0.19166	0.1747	0.09048	0.02487	0.10286	0.00182	0.0	0.15709
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei|t__SGB1815	0.0	0.00596	0.0	0.91147	0.33579	0.00401	0.0	0.96961	0.00241	0.04963	6.89238	2.0214	1.19046	0.69777	0.0	0.0	0.0	0.01387	1.82108	0.75528	0.00543	0.12453	0.17914	0.00477	0.0	0.0	0.84466	0.96812	0.0997	0.05126	1.25015	0.06966	0.0	0.0	0.0	1.52389	3.47923	1.25372	0.19557	0.27616	1.15701	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15|t__SGB4993	0.0	0.00528	0.00714	0.14547	0.18995	0.0438	0.0519	0.25193	0.13891	0.31032	0.0	0.00273	0.01648	0.04077	0.0	0.02753	0.01988	0.0	0.0	0.14558	0.28954	0.05546	0.3582	0.0018	0.12872	0.14501	0.11768	0.02284	0.56435	0.43113	0.0888	2.18754	0.0	0.08422	0.0	0.00188	0.0	0.05045	0.18501	0.00593	0.1392	0.0419
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Tropherymataceae|g__Tropheryma|s__Tropheryma_whipplei|t__SGB8511	0.0	0.00503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum|t__SGB6187	0.0	0.00501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis|t__SGB15877	0.0	0.00499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenellaceae_unclassified|s__Christensenellaceae_bacterium_NSJ_63|t__SGB14127	0.0	0.00469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00332	0.00125	0.00053	0.01061	0.0	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00318	0.0	0.0005	0.0	0.0	0.00095	0.0	0.005	0.0	0.0	0.00855	0.0	0.00152	0.00168	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_SGB8255|t__SGB8255_group	0.0	0.00464	0.0	0.01426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00451	0.0	0.00668	0.00193	0.06251	0.0	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.03463	0.0	0.00091	0.0	0.00063	0.01943	0.00396	0.0	0.0012	0.0	0.00687	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4810	0.0	0.00451	0.02489	0.0	0.0	0.0	0.41874	0.01448	0.00803	0.06753	0.0	0.0	0.0	0.0	0.0293	0.4235	0.26716	0.00106	0.03152	0.00511	0.05756	0.018	0.70108	0.0	0.00393	0.01969	0.17224	0.09197	0.07549	0.0015	0.32314	0.42854	0.0	0.0	0.0	0.46751	0.00146	0.00125	0.00384	0.0	0.03932	0.00775
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__SGB4951	0.0	0.0045	3.64314	0.52681	0.36693	0.45095	0.15997	0.0	0.03752	0.14386	0.0	0.00455	0.01907	0.0	0.04778	0.42764	0.2355	0.06782	0.43319	0.00106	0.00012	18.25352	0.0	0.01298	0.06777	0.06605	0.48568	0.0	0.02735	0.19072	0.20817	0.02601	0.01613	0.01701	0.0	0.17902	0.71069	0.5633	0.92814	0.26024	1.68015	1.09754
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__SGB5118	0.0	0.00394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41368	0.0	0.0	0.0	0.0	0.0	3.91787	2.508	0.0	0.0	0.0	0.0	0.0	7.21867	0.0	0.0	0.0	0.00828	0.0	0.0	0.00148	0.0	0.23241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01161	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis|t__SGB5868	0.0	0.00384	0.0	0.00433	0.0	0.0	0.0	0.0	0.0	0.0	0.00432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii|t__SGB15888	0.0	0.00382	0.00039	0.1562	0.00326	0.0	0.0	0.03608	0.0	0.0	0.0	0.0	0.00862	0.0	0.0023	0.0	0.13023	0.01122	0.0	0.0	0.03565	0.00815	0.01469	0.0	0.0	0.0	0.0	0.05905	0.0	0.01339	0.00291	0.00817	0.0	0.03585	0.10691	0.00223	0.0	0.0	0.00773	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_parvula|t__SGB964	0.0	0.0037	0.0	0.0	0.00094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.00369	0.00611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55667	0.0	0.04727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01567	0.0	0.00374	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium|t__SGB15143	0.0	0.00362	0.00659	0.0	0.00673	0.0	0.04712	0.0	0.01899	0.0	0.07441	0.0	0.0052	0.0	0.0	0.0	0.0	0.0	0.0	0.01205	0.0	0.00178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02613	0.0031	0.0	0.0	0.0	0.00637	0.0	0.0	0.0	0.00357	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807|t__SGB14348	0.0	0.00356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00419	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella_hongkongensis|t__SGB14143	0.0	0.00344	0.00026	0.0	0.0	0.01405	0.00156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041	0.00931	0.01625	0.0	0.0	0.0	0.0	0.0	0.00737	0.00525	0.01029	0.01448	0.0	0.0	0.0	0.0	0.0	0.0	0.02113	0.0277	0.04777	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales|f__Candidatus_Sacchiramonaceae|g__Candidatus_Nanosynsacchari|s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1|t__SGB19882	0.0	0.00282	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602|g__GGB1420|s__GGB1420_SGB1957|t__SGB1957	0.0	0.00183	0.0	0.0	0.0	0.0	0.0328	0.0373	0.01531	0.00785	0.0	0.0	0.0	0.0	0.0	0.00268	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00307	0.01411	0.00483	0.0	0.0	0.0	0.0	0.0	0.00706	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB|t__SGB4714	0.0	0.00161	0.01927	0.04357	0.06022	0.05483	0.08207	0.07208	0.08727	0.03276	0.0781	0.02836	0.00693	0.0	0.0	0.0	0.07306	0.00264	0.0	0.07265	0.0	0.04671	0.02981	0.00412	0.0	0.00977	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.00357	0.0	0.0	0.06643	0.06044	0.00824	0.01877	0.07035	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi|t__SGB4988	0.0	0.00154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0276	0.0	0.0	0.01789	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.01165	0.00331	0.0	0.0	0.0	0.0	0.0	0.0	0.00436	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763|g__GGB79973|s__GGB79973_SGB14341|t__SGB14341	0.0	0.00153	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.02496	0.0	0.0	0.0	0.0	0.0	1.78118	0.40687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02059	0.01939	0.0	0.18403	0.0	0.0	0.0	0.06811	0.0	0.0	0.0	0.0	0.00643	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_aldenensis|t__SGB4762	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.00051	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia|o__Candidatus_Nanoperiomorbales|f__Candidatus_Nanoperiomorbaceae|g__Candidatus_Nanoperiomorbus|s__Candidatus_Nanoperiomorbus_periodonticus|t__SGB95426	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004|g__GGB58158|s__GGB58158_SGB79798|t__SGB79798	0.0	0.00109	0.0	0.0	0.0	0.0	0.00205	0.0	0.0	0.0	0.00219	0.00182	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.00246	0.0	0.0014	0.0	0.00359	0.0	0.0	0.00076	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_Marseille_P3244|t__SGB29302	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022	0.0013	0.00368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143	0.0	0.00034	0.0	0.0	0.0	0.0	0.00033	0.00841	0.0	0.00482	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089|t__SGB5089	0.0	0.00104	0.04697	0.06562	0.50166	0.00791	0.16691	0.19336	0.04658	0.15616	0.03476	0.06214	0.03873	0.00621	0.0	0.0	0.0	0.0	0.09807	0.09286	0.0092	7.05571	0.0	0.00225	0.00143	0.0	0.0	0.0	0.0	0.05561	0.0	0.0	0.06391	0.03183	0.01267	0.0	0.28993	0.60189	0.04792	0.08961	0.25655	0.10719
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6|t__SGB5111	0.0	0.00099	0.0	0.01119	4.31764	0.02014	0.18594	3.83439	5.31106	0.0	0.0	0.03458	1.00367	0.02147	0.0	1.87718	0.0	0.0	0.0	0.0115	0.00343	0.07951	0.0	0.0	0.0	0.0	0.0	0.0	0.25428	0.0	0.38874	0.0	0.0	3.35279	1.37446	0.93978	0.0	0.0	0.0	0.0	0.44142	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__SGB1855	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01448	0.0246	0.03885	0.00253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02501	0.10404	0.0	0.07711	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus|s__Catenibacillus_scindens|t__SGB59869	0.0	0.00093	0.0	0.0	0.00061	0.0	0.0	0.0	0.0	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.00246	0.00622	0.0053	0.0	0.0	0.0	0.00035	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii|t__SGB4285	0.0	0.0009	0.0	1.04698	0.69898	0.0	3.12055	1.61793	0.00908	0.00299	0.01111	5.15476	6.29544	0.788	0.0	0.0	0.0	12.61477	0.03822	3.20721	0.0	0.00203	0.0	0.00077	0.01679	0.00894	2.83758	0.00016	2.87042	7.93422	0.00548	7.71715	0.0	0.0	0.0	8.13548	0.0009	10.85733	7.71252	1.53773	1.64071	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum|t__SGB17008	0.0	0.00084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.03195	0.0	0.0	0.0	0.00146	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__SGB17241	0.0	0.00076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01172	0.08707	0.0	0.0	0.0	0.0	0.0	0.0	0.21182	0.80236	0.00322	0.0	0.00081	0.0	0.0	0.0	0.06465	0.00245	0.01189	0.03439	0.0	0.0	2.94754	0.93193	0.0	2.34319	0.00904	0.06603	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_BSD2780120874_150323_B10|t__SGB4290	0.0	0.0007	0.0	0.59232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22166	0.00831	0.0	0.0	0.0	4.06783	0.0	0.0	0.0	0.0	0.0	1.41314	0.0	0.0	4.92457	0.0	0.30832	0.00772	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__SGB4582	0.0	0.00062	1.50168	0.0	0.0	0.04762	0.22719	0.0	0.07542	0.08977	0.0	0.04639	0.04835	0.01881	0.61127	0.9237	1.1171	0.35002	0.91636	0.0	0.1774	0.0	0.72264	0.0029	0.11641	0.21669	0.0	0.0	0.0	0.50433	0.0	0.0	0.0	0.05047	0.60112	0.2203	0.0	0.0	0.0	0.0	0.0	0.64856
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Ruminococcaceae_bacterium_AM28_23LB|t__SGB14974	0.0	0.0003	0.09707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03103	0.06427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02811	0.0039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02934	0.00364	0.03058	0.0	0.0	0.03093	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Heritagella|s__Candidatus_Heritagella_intestinalis|t__SGB63346	0.0	0.0003	0.0107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00161	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00257	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum|t__SGB17231	0.0	0.00027	0.0	1.24951	0.02829	0.00112	0.0	0.28437	0.0	0.00084	0.0	2.214	4.4811	2.59702	0.0	0.0	0.0	0.0	0.00029	1.24933	14.92214	0.14327	7.46922	0.00138	0.0	0.00366	0.00362	0.06292	0.0	1.10693	0.06055	0.0019	0.0	0.0	0.0	0.0	2.40424	1.25309	8.0628	0.01781	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera	0.0	0.0	0.11193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella	0.0	0.0	0.10745	0.0	0.0	0.04011	0.02152	0.0	0.02992	0.07095	0.11763	0.00793	0.00665	0.01748	0.0	0.12315	0.12134	0.04618	0.0	0.0	0.0	0.0	0.0	0.05857	0.07576	0.01005	0.0	0.0	0.0	0.00669	0.0	0.0	0.00834	0.017	0.00731	0.04823	0.0	0.0	0.0	0.06655	0.0	0.03446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Phocea	0.0	0.0	0.04334	0.0	0.0	0.01097	0.0	0.0	0.01818	0.0	0.0	0.0	0.0	0.0	0.14322	0.01024	0.03894	0.00312	0.0	0.0	0.0	0.0	0.0	0.00756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00864	0.0	0.0	0.00418	0.0	0.00128	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Lactonifactor	0.0	0.0	0.03501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01139	0.06717	0.0	0.0	0.0	0.0	0.0	0.0	0.0348	0.02186	0.01172	0.0	0.0038	0.00265	0.0	0.0	0.0	0.00113	0.04977	0.07425	0.0	0.00027	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB2987	0.0	0.0	0.02881	0.0	0.0	0.0	0.0	0.0	0.02615	0.0	0.0	0.0	0.0	0.0	0.0	0.01175	0.01738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03103	0.01101	0.00028	0.0	0.0	0.0	0.0	0.0	0.0	0.02194	0.03902	0.00234	0.02851	0.0	0.00405	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0	0.0	0.02453	0.0	0.0	0.0889	0.0	0.0	0.14165	0.04069	0.0252	0.08182	0.11447	0.01448	19.46255	1.07295	1.57846	7.28213	0.02495	0.06244	0.00274	0.0	0.13056	0.00339	0.00732	0.00637	0.01299	0.00281	0.0263	0.01591	0.01958	0.00208	0.01421	0.0	0.00084	14.7198	0.06088	0.0	0.01992	0.0069	0.00856	0.0
