#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan4d_SRR9033715	metaphlan4d_SRR9033716	metaphlan4d_SRR9033717	metaphlan4d_SRR9033718	metaphlan4d_SRR9033719	metaphlan4d_SRR9033720	metaphlan4d_SRR9033721	metaphlan4d_SRR9033722	metaphlan4d_SRR9033723	metaphlan4d_SRR9033724	metaphlan4d_SRR9033725	metaphlan4d_SRR9033726	metaphlan4d_SRR9033727	metaphlan4d_SRR9033728	metaphlan4d_SRR9033729	metaphlan4d_SRR9033730	metaphlan4d_SRR9033731	metaphlan4d_SRR9033732	metaphlan4d_SRR9033733	metaphlan4d_SRR9033734	metaphlan4d_SRR9033735	metaphlan4d_SRR9033736	metaphlan4d_SRR9033737	metaphlan4d_SRR9033738	metaphlan4d_SRR9033739	metaphlan4d_SRR9033740	metaphlan4d_SRR9033741	metaphlan4d_SRR9033742	metaphlan4d_SRR9033743	metaphlan4d_SRR9033744	metaphlan4d_SRR9033745	metaphlan4d_SRR9033746	metaphlan4d_SRR9033747	metaphlan4d_SRR9033748	metaphlan4d_SRR9033749	metaphlan4d_SRR9033750	metaphlan4d_SRR9033751	metaphlan4d_SRR9033752	metaphlan4d_SRR9033753	metaphlan4d_SRR9033754	metaphlan4d_SRR9033755	metaphlan4d_SRR9033756	metaphlan4d_SRR9033757	metaphlan4d_SRR9033758	metaphlan4d_SRR9033759	metaphlan4d_SRR9033760	metaphlan4d_SRR9033761
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pararuminococcus	0.00061	0.00027	0.01141	0.0	0.00774	0.0	0.0	0.05727	0.01486	0.01375	0.01886	0.0	0.0	0.0	0.0	0.0	0.03659	0.01772	0.0	0.0	0.0	0.0	0.02125	0.0	0.00425	0.0	0.0	0.0	0.0046	0.0	0.00032	0.0	0.01405	0.0	0.0	0.0218	0.02202	0.0	0.00041	0.0	0.0	0.02197	0.01932	0.0	0.04341	0.00332	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	0.00061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00765	0.05334	0.05161	0.0	0.01956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04435	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9062	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.0	0.07286	0.0	0.0	0.0	0.0	0.0	0.13183	0.04	0.0	0.03464	0.0	0.0	0.0305	0.0	0.01938	0.0004	0.0	0.0	0.00146	0.0	0.01152	0.0	0.0	0.0	0.0	0.11945	0.0	0.0	0.0	0.0	0.03467	0.0	0.0	0.0	0.0	0.0	0.16283
k__Bacteria|p__Bacteria_unclassified|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00054	0.0	0.01448	0.0	0.00427	0.04967	0.0	0.00287	0.00326	0.0	0.00229	0.00089	0.00763	0.0	0.0	0.04446	0.0	0.0	0.00142	0.01904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00564	0.0	0.0064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03062	0.0	0.01985	7e-05	0.00208	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3616	0.00054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira	0.00047	0.56172	0.10233	13.46872	0.52305	0.00268	7.20391	0.00044	2.00154	0.63508	0.19122	1.54983	1.12529	0.0	1.90996	0.0	0.0	0.0	1.86252	1.46549	1.912	4.35497	1.86282	2.5802	0.98006	0.12364	1.51262	1.43245	0.53343	6.72121	3.19747	0.31883	2.25122	0.00079	0.21875	0.0	0.66794	3.54936	0.0	0.38218	2.50034	2.77226	5.52525	0.01072	0.46043	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0.00039	0.0	0.0	0.0	0.0	0.01448	0.00352	0.0	0.0	0.10493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.0	0.0	0.0	0.00261	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00947	0.0	0.13369	0.03938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53844	0.0	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924|f__FGB72924|g__GGB3612	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10776	0.0	0.0	0.12219	0.0	0.0	0.01826	0.0	0.00011	0.38163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.45934	0.0	0.0	2.3881	0.06329	0.07066	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9582	0.00014	0.0	0.0	0.0	0.09267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01246	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__GGB80093	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB79709	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9618	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0104	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004|g__GGB58158	4e-05	0.0	0.00544	0.0	0.01034	0.00018	0.0	0.03398	0.00154	0.00686	0.00039	0.01435	0.00571	0.0	0.0	0.0062	0.01987	0.01096	4e-05	0.0	0.0	0.0	0.0	0.0	0.00031	7e-05	0.0	0.00577	0.00563	0.0	0.00873	0.0	0.03666	0.00507	0.0	0.0	0.00242	0.00311	0.00561	0.0	0.0	0.0019	0.00954	0.00521	0.03568	0.01114	0.01046
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Aristotella	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora	2e-05	0.48573	0.30229	0.0556	0.17047	0.72055	0.52785	0.16171	0.85194	0.04395	0.11899	0.84868	1.09172	0.0	0.47511	0.73718	0.48551	0.42775	0.34379	0.01067	0.0	0.0	0.09369	0.6621	0.11675	0.21426	0.0	0.72096	0.92591	0.0	0.28012	0.23321	0.31783	0.67579	1.05969	0.16636	0.1133	0.60097	0.48801	0.43624	0.03139	0.64409	0.33546	0.44961	0.00263	0.84498	1.3782
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei	22.01246	0.29979	7.22626	0.9314	4.42238	0.18217	0.01557	0.01538	12.0203	1.60187	0.55469	3.45884	3.76037	49.48906	3.22552	5.20328	3.04429	4.65265	3.16644	7.4022	28.13159	32.53325	0.58113	0.34936	0.25324	0.34028	9.15076	0.03212	0.01345	2.95625	0.71723	0.02688	19.50465	39.85992	0.02271	10.13142	5.15481	1.19388	2.87283	0.8365	8.12412	8.36224	9.29054	26.5032	3.08552	0.00544	0.40818
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	11.25478	0.66436	0.19425	0.05917	0.23329	0.00914	0.09358	1.04767	1.69717	0.09089	0.28081	1.93055	3.63146	21.98774	1.14698	3.73145	4.50418	3.0414	3.15706	0.21868	6.23008	7.32001	0.03615	0.28806	0.00328	0.01613	1.26052	0.31036	0.00751	1.03846	0.17487	3.50395	0.78411	14.49269	0.15009	0.00426	0.00555	0.10306	0.0	0.05625	0.61564	0.38719	1.04411	14.43832	0.12224	4.44243	0.03403
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	7.61475	2.50898	7.18285	0.41454	3.16192	2.21502	5.75362	8.86914	1.69737	4.97544	4.42262	3.04259	4.81703	6.88185	12.14824	9.19323	9.25426	17.9293	10.28763	0.53789	4.886	8.81654	2.44479	0.69608	1.32512	2.64396	5.72549	3.79651	6.62067	6.22695	1.98664	6.71892	9.15431	4.61278	1.15692	4.35731	3.24081	4.39578	6.07553	0.43957	0.91084	2.43922	3.30526	4.68377	2.26296	15.94252	8.59456
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	7.27067	0.00297	15.90522	0.32919	13.40871	0.0	0.0	0.00425	0.0	0.09554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95881	0.0	0.0	0.07544	0.23127	0.10221	0.05982	0.0	0.0856	0.0	0.0	0.49165	0.0	0.0	0.0	0.06323	0.0	0.0	0.0	0.00291	0.00088	0.60629	0.0	0.0	0.0	5.9966	0.01147	0.01175
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_massiliensis	6.06251	0.00288	0.01077	0.21769	0.00552	8.86627	2.74095	0.00254	3.00166	1.16443	1.57736	0.00228	0.03257	0.0	0.0	11.14158	1.85547	2.58559	0.00863	3.70489	0.0	2.37332	0.09531	0.0	0.0101	0.0706	0.0	0.03609	0.00311	0.0	2.13069	0.00461	0.00715	0.00727	4.04664	0.0	8.82955	0.0	2.23435	0.32051	3.60841	1.49407	4.75733	0.01025	0.01058	0.00959	10.22567
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	3.90966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00409	0.83283	0.0	0.00127	0.00063	0.0	0.0	0.00131	0.0	0.0	0.0001	0.70154	0.0	0.0	1.71576	0.05843	0.11069	1.18373	0.0	0.0	0.0	0.0	0.0	0.0	0.00317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2422	0.00929	0.00277	0.0	0.00214	3.63088	0.0019
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	3.5964	0.2422	0.0	0.08286	0.0	0.0322	0.31282	1.94442	0.91035	0.38494	0.002	0.56613	0.63469	0.0	2.38771	0.00193	0.00109	0.0009	0.77977	2.61199	0.0	0.0	0.57787	0.0326	0.02587	0.23171	0.0	1.28351	3.69434	0.58506	0.96993	0.0	0.0	0.0	0.36711	1.57982	1.40293	0.56033	0.0	0.15443	1.595	0.78327	1.02555	0.00163	0.0	0.94848	0.14777
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2.56377	0.08185	0.81451	0.16613	0.81704	0.00166	1.0789	0.25942	1.10209	2.69291	1.93066	2.0659	3.13333	3.17222	0.18672	2.82373	1.56625	1.34462	1.59312	1.20307	1.27966	4.47396	0.66292	0.45659	0.99166	0.81719	1.62245	1.78574	0.00577	1.03488	0.80601	9.01519	0.00145	0.00106	0.25857	0.73931	2.59315	0.27878	2.14981	0.74018	1.15587	1.12343	7.18361	0.01342	1.04663	0.85527	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae	2.28265	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.98786	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2.23369	0.00038	0.02857	0.37075	0.02762	0.81851	0.00042	2.85984	3.31485	4.71784	4.05796	0.02654	0.0351	0.0	3.11588	2.70427	6.32514	2.82997	0.05813	4.33098	6.19362	5.25831	0.50361	2.41192	0.06334	0.55237	0.0	0.04774	3.1037	0.0	1.50127	0.00132	0.00176	0.0	1.54298	5.35511	5.79655	4.78252	0.0	0.0	4.03885	4.09676	4.91449	0.00845	0.02586	3.90438	4.98508
k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612|s__GGB6612_SGB9346	2.16655	0.0	0.0	1.41648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75242	0.99962	0.0	0.0	2.52741	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3204|s__GGB3204_SGB13957	1.98545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62625	0.0	0.0	0.00121	0.0	0.00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07959	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus	1.70744	0.0	0.60437	0.0	0.6601	1.96881	0.12726	0.13204	0.0	0.20694	0.0	0.09241	0.04372	0.0	0.0	0.69768	1.32478	0.04323	0.03315	0.47869	0.0	0.0	0.0	0.00695	0.0	0.0	0.0	0.20145	0.0	0.0	0.00044	0.0	0.04263	0.19857	1.22847	1.66962	0.00215	0.04851	4.08492	0.0	0.14422	0.0	0.00344	0.26524	0.67075	0.06114	0.26445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	1.48807	0.01243	1.0182	0.0	0.45784	0.08516	0.00111	0.05704	0.0	0.02125	0.00029	0.0	0.40939	0.0	0.0	0.01415	0.04497	0.01229	0.01821	0.07529	0.0	0.0	2.26166	0.00847	0.08141	0.34561	0.0	0.0	0.01438	0.0	0.11603	0.0	0.0	0.02228	3.22767	0.0	0.0	0.0	0.0	0.0	0.03524	0.00176	0.00785	0.00307	0.54749	0.08879	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_lascolaii	1.27306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60671	0.93692	0.09697	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	1.19715	0.00394	0.22131	0.00276	0.24692	0.0	0.0	0.0	1.38777	0.1419	0.9707	0.15038	0.09233	0.0	0.0	0.25051	0.50748	0.97267	0.11238	0.63784	0.0	0.0	0.03437	0.00014	0.6799	0.47902	0.0	0.0	0.0	0.0	0.0	0.09132	0.52308	0.0	0.00046	0.0	0.0	0.0	0.38356	0.02023	0.3392	1.0306	0.28765	0.00037	0.08204	0.00362	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	1.12759	0.10228	0.61856	0.0015	1.38686	0.00136	0.0021	14.11836	0.00592	15.40927	0.15036	0.00333	0.01225	0.0	0.55839	0.48066	2.3844	5.95516	0.00436	1.65076	6.8152	2.65466	0.05095	0.68946	0.00979	0.06044	0.51369	0.50761	5.44667	1.35168	0.57037	0.00256	3.04143	2.62441	0.0	0.0	7.02905	4.16918	0.0	0.03511	1.61927	0.00576	0.00413	4.05838	0.39979	0.97274	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713|s__GGB9713_SGB15249	1.11098	0.01994	0.0	0.01537	0.0	0.0	0.0	0.00129	0.0	0.0	0.86022	0.00346	0.0	0.0	0.0	0.0	0.6952	0.61002	0.0	1.23827	0.0	0.0	0.70086	0.15569	2.38622	1.74845	0.0	0.0	0.0	0.0	0.28143	0.0	1.35076	0.0	0.0	0.0	0.20893	0.0	0.0	0.09262	0.53761	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629|g__GGB1496|s__GGB1496_SGB2073	1.03147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43108	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_AF16_49	0.9887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28332	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	0.97428	0.34258	1.49333	0.0	1.96867	0.0	0.63041	0.95194	0.0	0.0	0.63667	0.0	0.00306	0.0	0.68228	1.23003	1.34284	0.83549	0.0	0.45839	0.0	0.0	0.04545	0.52066	0.01363	0.00791	0.0	1.18622	0.68791	1.31952	0.0	0.0	0.0	0.0	1.5451	0.48525	0.0	0.0	1.72116	0.80702	0.43276	0.0	0.0	0.0	1.27994	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0.93661	0.8561	0.00036	0.13355	0.0	0.00029	1.27375	0.00078	1.22912	0.0	0.27643	3.24359	4.12094	0.0	0.35747	1.00425	0.93222	1.60164	2.59682	0.61858	0.0	0.05416	2.76714	0.08214	0.12148	1.10062	0.0	0.00979	3.16996	0.0	0.52085	2.92697	0.00157	0.00037	1.26979	2.78021	0.96818	1.9676	1.79453	0.07453	1.26068	1.10034	1.74413	0.00425	0.00745	3.85979	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	0.92295	0.0	0.0	0.62884	0.0	0.0	1.48714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63961	0.0	0.0	0.26752	0.0	0.55094	1.74082	0.0	0.0	0.0	0.0	0.54724	0.0	0.0	0.0	0.0	0.0	0.0	1.47499	0.0	0.0	0.64594	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.6877	0.00291	2.35584	4.29325	2.41429	0.0	0.0	0.88103	3.9365	0.0	2.64427	0.01173	0.0	0.0	0.0	0.21993	0.44727	0.30628	0.0	0.31343	0.0	0.0	0.69499	0.03142	2.52911	6.49756	0.0	0.0	0.0	0.0	0.20157	0.0	1.72082	0.0	0.01477	10.67497	1.37346	0.0	1.11946	2.19912	0.95572	2.43072	0.07737	0.0	3.80706	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_SGB2122	0.68024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03625	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalimonas|s__Faecalimonas_umbilicata	0.61635	0.0	0.0	0.0	0.06114	0.35978	0.00065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.04931	0.0	0.0055	0.0	0.0	0.0	0.0	0.0042	0.0	0.00395	0.0	0.0	0.00522	0.02028	0.0	0.58215
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	0.55733	3.97489	0.79732	0.36663	0.59349	5.19996	5.77024	3.11905	0.09511	3.15016	2.31422	8.39554	10.31399	0.0	8.7257	0.06083	0.02936	0.03211	9.30249	4.24191	4.57262	3.8873	0.02075	2.82273	0.01248	0.01804	32.26143	12.3651	10.08466	18.67493	4.80953	20.30205	0.03631	0.02649	13.27768	0.00249	0.06519	6.96705	3.21622	0.98029	2.28063	0.07891	0.32248	0.00532	1.38558	9.68105	7.13615
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC	0.54801	0.14023	0.0	0.23565	0.0	3.09578	0.27604	0.0	0.11323	0.0	0.02692	0.51305	0.12701	0.0	0.0	0.0	0.0	0.0	0.19428	0.40309	0.0	0.0	0.01939	0.27514	0.0507	0.00594	0.0	0.0	0.0	0.0	0.0	0.66028	0.0	0.0	0.0	0.0	0.5589	0.2029	0.0	0.62722	0.10892	0.07685	0.07854	0.0001	0.0	0.02202	0.66593
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.46785	0.0	0.0	0.0	0.0	0.0	0.00584	0.0	0.0	0.0	0.08234	0.0	0.0	0.0	0.0	0.55153	0.13036	0.03258	0.0	0.56848	0.0	0.0	0.0	0.03997	0.0	0.0	0.0	0.0	0.0	0.0	0.22702	1.02858	0.0	0.0	0.01119	0.0	0.0	0.01347	0.0	0.0	0.0948	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15	0.43993	0.29813	0.09196	0.0	0.07073	0.0211	0.0	0.07672	0.11135	0.0	0.0	0.0	0.0	0.0	3.18216	0.0	0.0	0.0	0.0	0.28618	0.0	0.0	0.17095	0.63999	0.25786	0.12472	0.0	0.12265	2.03939	0.0	0.11434	0.0	0.21388	0.0	0.11065	0.0	0.21781	0.65704	0.0	0.0	0.20692	0.18987	0.06043	0.0	0.12307	0.06858	0.28702
