#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_SRR6000869	metaphlan_SRR6000870	metaphlan_SRR6000871	metaphlan_SRR6000873	metaphlan_SRR6000874	metaphlan_SRR6000877	metaphlan_SRR6000878	metaphlan_SRR6000890	metaphlan_SRR6000891	metaphlan_SRR6000892	metaphlan_SRR6000893	metaphlan_SRR6000894	metaphlan_SRR6000895	metaphlan_SRR6000896	metaphlan_SRR6000899	metaphlan_SRR6000900	metaphlan_SRR6000901	metaphlan_SRR6000902	metaphlan_SRR6000903	metaphlan_SRR6000905	metaphlan_SRR6000906	metaphlan_SRR6000907	metaphlan_SRR6000908	metaphlan_SRR6000909	metaphlan_SRR6000910	metaphlan_SRR6000911	metaphlan_SRR6000912	metaphlan_SRR6000920	metaphlan_SRR6000921	metaphlan_SRR6000931	metaphlan_SRR6000932	metaphlan_SRR6000940	metaphlan_SRR6000942	metaphlan_SRR6000944	metaphlan_SRR6000945	metaphlan_SRR6000946	metaphlan_SRR6000947	metaphlan_SRR6000949
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.10158	0.39234	0.0	1.43414	0.09925	8.32103	0.42115	0.0	0.05209	19.00669	1.672	2.52415	0.00705	0.0	4.574	0.0	15.07828	0.0	0.0	5.32608	1.59828	1.31626	0.0	4.36206	0.0	2.07889	0.0	4.18628	1.0177	0.02307	4.53637	0.0	1.96919	0.17333	0.0	8.87077	0.84312	0.21144
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.89344	0.3551	0.01213	0.77777	0.71664	0.0	1.61221	0.35387	0.0	0.2249	0.01438	0.95984	0.06636	0.10995	0.06771	1.30021	4.84843	0.0	19.35997	1.66591	0.25497	0.20967	0.00234	0.32851	0.48812	0.25912	0.00655	1.19794	0.0	0.39142	1.46933	0.05421	0.13597	0.0	0.0	1.45287	0.03573	0.93114
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.89238	2.12963	0.52497	1.94093	0.93707	1.0125	0.63329	0.31724	2.62352	3.55032	0.24683	0.46346	0.31525	0.63192	1.66048	1.10369	0.58055	0.43243	2.44574	1.02653	0.69139	1.40205	1.99789	5.20013	0.38823	0.27864	0.18379	0.30734	0.44334	2.96749	5.86471	2.4195	0.85288	0.42528	0.26279	0.1004	0.61448	0.0366
k__Bacteria|p__Firmicutes|c__CFGB2918	0.53972	0.01775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06826	0.0	0.0	0.0	0.0	0.0375	0.0	0.0	0.63201	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.35063	1.86386	0.0	2.03488	0.83595	0.25766	0.3378	0.64838	0.11905	1.1655	0.44728	1.80124	0.66136	0.15447	3.12775	0.37881	2.6425	1.15467	11.3151	1.00838	0.18324	2.90417	0.53799	2.78153	0.68682	0.43104	0.48844	0.73355	0.1324	2.54617	1.65914	9.37719	1.10488	0.1085	0.09105	2.05245	0.14379	1.0289
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.32506	0.12534	0.0	0.44657	0.0	0.0	0.32923	0.06989	0.69096	0.5603	0.22567	0.23504	0.01319	0.0	0.0	0.0	0.0	0.07932	0.0	0.0	0.04037	0.00073	0.0	0.05942	0.14944	0.15878	0.0	0.72189	0.01995	0.16948	0.0	0.0	0.0	0.05384	0.0	0.34454	0.13186	0.25042
k__Bacteria|p__Firmicutes|c__CFGB1227	0.26547	0.0	0.0	0.04225	0.0	0.0	0.0	0.03761	0.02487	0.02164	0.00057	0.01464	0.00262	0.00709	0.0	0.0	0.0	0.04826	0.0	0.17307	0.02396	0.15276	0.04101	0.0636	0.0	0.0	0.00449	0.0	0.02979	0.00098	0.32342	2.015	0.19363	0.0116	0.0	0.14823	0.5008	0.03708
k__Bacteria|p__Firmicutes|c__CFGB3068	0.24122	0.05052	0.0	0.00988	0.0	0.0	0.0	0.0	0.18082	0.15006	0.15531	0.0	0.08973	0.0	0.06996	0.0	0.0	0.0	0.0	0.03484	0.61514	0.53278	0.0	3.03478	0.0	0.064	0.00958	0.0	0.12487	0.07345	0.0	0.0	0.0	0.0006	0.0	0.04478	0.1302	0.10028
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.21302	0.31073	0.0	0.33617	0.0	0.83398	0.72849	0.36756	0.35251	0.08478	0.06068	0.6264	0.16646	0.0	0.31256	0.0	0.93258	0.0	0.0	0.22043	0.00884	4.46174	0.0	0.24829	1.74757	0.40264	0.05329	1.71984	0.22009	0.38609	1.6165	2.4033	0.00332	0.16584	0.59851	1.06833	0.03556	0.31863
k__Bacteria|p__Firmicutes|c__CFGB75721	0.12426	0.06935	0.0	0.17976	0.0	0.0	0.0	0.0	0.0	0.25068	0.05097	0.07988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27479	0.00707	0.0	0.04338	0.0	0.00119	0.0	0.0	0.03142	0.00775	0.06914	0.0	0.57251	0.0	0.0	0.01553	0.20254	0.0
k__Bacteria|p__Firmicutes|c__CFGB2898	0.12243	0.0	0.0	0.38372	0.0	0.0	0.0	0.0	0.0	0.0064	0.31522	0.03879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2985	0.10121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16722	0.06745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.06355	0.10214	0.0	0.0	0.09142	1.65833	0.0	0.17835	0.02518	0.08353	0.34369	0.32368	0.03832	0.0	0.0	0.0	0.0	0.14276	0.0	0.45047	1.21949	0.0	0.0	0.00962	0.0	1.07818	0.0	1.31965	0.86414	0.03468	0.09068	0.02179	0.08183	0.10678	0.0	0.0	0.12356	0.03818
k__Bacteria|p__Firmicutes|c__CFGB1507	0.06097	0.03197	0.0	0.01958	0.09408	0.03655	0.0	0.04465	0.08545	0.01188	0.01624	0.13915	0.02836	0.67772	0.1746	0.0	0.06595	0.13883	0.0	0.0792	0.01479	0.05702	0.04273	0.08148	0.04498	0.08571	0.04657	0.0	0.05659	0.03195	0.05829	0.06317	0.00059	0.03122	0.0	0.00233	0.03722	0.04448
k__Bacteria|p__Synergistetes|c__Synergistia	0.03976	0.0	0.0	0.1142	0.00443	0.0	0.0	0.0	0.0	0.0	0.01852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07084	0.02934	0.39724	0.0	0.0	0.0	0.10895	0.0	0.0	0.0	0.0	0.16679	2.27973	0.23598	0.00593	0.0	4.39779	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76533	0.02801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14602	0.0	0.16407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642	0.02403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20096	0.0	0.02034	0.00111	0.02874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0	0.0	0.01334	0.0	0.0	1.63805	0.0
k__Bacteria|p__Firmicutes|c__CFGB3022	0.01856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia	0.01644	0.0	0.0	0.0	0.04262	0.0	0.00561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01236	0.0	0.0	0.08372	0.21782	0.05547	0.34053	0.02527	0.0	0.0	0.0	0.0631	0.0	0.00103	0.00639	0.0	0.0	0.0	0.0	0.0	0.0	0.00751	0.00047	0.00457
k__Bacteria|p__Firmicutes|c__CFGB8822	0.0158	0.00858	0.0	0.0	0.01264	0.0	0.0	0.0	0.0	0.00248	0.0	0.50787	0.0	0.06086	0.01171	0.0	0.0	0.01732	0.0	0.02099	0.0	0.34702	0.0	0.01064	0.01608	0.0214	0.0	0.0	0.0	0.00808	0.0	0.0	0.0	0.00201	0.0	0.0	0.0	0.00764
k__Bacteria|p__Firmicutes|c__CFGB1262	0.01051	0.0	0.0	0.01391	0.0	0.0	0.0	0.0	0.0	0.05186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00687	0.0	0.0	0.01017	0.0	0.00148	0.0	0.0	0.0	0.0	0.03174	0.0	0.01039	0.0	0.0	0.02221	0.01828	0.0
